taxa,PC1,PC2,PC3
33-16,1.6780774569501,-4.93733820263093,1.00292790366622
38-11,-1.60217488902348,-4.73227900516271,-0.688618711818489
4226,-0.899951722551037,-6.21860902114618,2.27376549796879
4722,2.13344773287119,-6.28793006010761,5.68371612516943
A188,0.630237229207118,-4.89474157066083,0.818900120293782
A214N,-13.6690754346307,0.873630155287658,-21.6324613089458
A239,-0.5680840766309,-5.94010636301767,0.330720052066822
A272,3.7670957619024,2.7504406229481,2.23840391424437
A441-5,5.43272967941567,-0.151654692557722,1.0950911767421
A554,-0.980118138798354,-5.4792220101155,1.04304921946502
A556,0.486709444158231,-6.68121495314164,1.88534541018131
A6,10.4949742670572,10.454305513198,0.435227255051206
A619,-0.0516207655001743,-15.4913251768542,5.29579269084504
A632,-19.6833160499124,-0.00741713268011247,-27.1228012187339
A634,-18.1129771825385,0.52797482537925,-25.1777706749176
A635,-18.7054657733253,-0.566400966620148,-25.3219570369279
A641,-11.540123339051,-3.77372610145261,-17.3821171501194
A654,-0.337719801292075,-5.92188846042245,-1.06323602238179
A659,-1.24303684551731,-5.41854695660122,1.59366066218027
A661,0.488027531479029,-5.03871807588809,2.45605338370849
A679,-30.1466826790561,13.2127001753141,12.3395328114991
A680,-35.9770137319673,16.2340754661393,12.6161663999689
A682,0.888121614064211,-8.45509262446742,0.148500440028803
AB28A,0.915341145367894,-2.55204152633773,1.12905018654805
B10,-15.3027421327919,-1.34367617246876,-7.35200514075809
B103,-3.04324143201554,-5.059405013174,-2.74327483150574
B104,-21.4166877945011,4.71001319421804,1.33291626605892
B105,-8.41562760363771,-0.357283755307419,0.975367652685987
B109,-29.9462236888539,13.3637338842588,9.21317879844994
B115,0.788766275627811,-4.93244362709354,0.0926407722642256
B14A,-25.3697112968346,1.04398757915358,-29.3460950506816
B164,-2.34650990187407,-3.53456196805418,0.717664489032836
B2,-4.16508838461635,-4.0959212877313,-1.86134205293675
B37,-14.4221430878423,0.0132662769288571,5.5892391055109
B46,-7.10649959708817,-6.92220986029845,-3.74875934690381
B52,-2.01554961398903,-4.88656143804735,-0.00398894152889453
B57,0.376890544368371,-3.22768848095123,1.71460457636082
B64,-15.2061537476086,1.13442965612324,-24.7112908674188
B68,-19.7164696452784,0.142696684878506,-27.3859023466353
B73,-38.7609574097568,18.0248964215502,13.4773853332729
B73HTRHM,-37.8747999554631,17.3680059742787,12.8935419208109
B75,-1.34501164006888,-6.46955383784907,0.883095242903668
B76,-12.8771631267697,-0.375147394296009,5.6624819885468
B77,1.83277128841945,-3.40949715593577,-1.53495704894011
B79,-6.45054057352643,-4.23470684799056,-4.08759084947797
B84,-21.7762299373863,4.75074871665624,0.657264947962802
B97,-2.55573291011426,-7.55922866851182,-1.61473855618775
C103,4.05974320728844,-12.0208297422737,3.87293871559219
C123,2.38228766191191,-9.92791867196043,2.75111040143828
C49A,0.69566963770537,-4.73526011842767,-0.852552388157192
CH701-30,-2.65298835487089,-5.08430343766909,-0.282483068008228
CH9,1.5724047509493,-3.93007825487924,-0.0948556852521552
CI7,-0.011813238345228,-5.37358396192288,1.62464404664328
CI187-2,4.35122042138775,-2.41255946509609,1.02774911994424
CI21E,-5.78319085830052,-0.406623634276609,-0.0592282256703217
CI28A,-0.897944688740615,-1.70964010221497,-1.19999418879175
CI31A,0.538165950556851,-4.37852441388918,2.56159197960699
CI3A,-0.647595169730749,-3.44010206535776,-2.58973537268383
CI64,3.20845650806002,-2.30034265611402,0.488267503494574
CI66,3.27422491928874,-1.85484668865028,0.974832202418335
CI90C,1.98939011004703,-4.66684460473295,4.00669154741302
CI91B,-4.31144255627775,-2.65666839245409,0.800693314936965
CM105,-20.4075810278107,-0.138009918019529,-19.8675212514066
CM174,-14.7710853731901,-2.28663681794758,-22.0292244642917
CM37,-1.89426975311378,-8.84789924907785,-1.13913682810285
CM7,-0.0252019909244873,-6.8660319998318,0.605455574199063
CML10,10.4219164979296,7.40834783798841,1.19075803371292
CML103,8.5346498603878,6.18234565793531,-0.178999724673736
CML108,8.38555734025502,8.28958827179,-1.16469284923528
CML11,10.6837482413205,9.51510085252115,0.340967650156438
CML14,9.3115031459555,8.95626038229204,-0.786249264743049
CML154Q,8.49900977637441,7.78028333878227,-1.27290406966323
CML157Q,9.87733361847691,7.34527937108749,-2.3760374071846
CML158Q,9.80329240406058,8.29459639630643,-0.220506220701221
CML218,9.99801346481087,7.21517316545391,-0.884101145123715
CML220,7.60480136890389,7.75872299622843,-1.59125261890971
CML228,10.9342502633488,7.93021337879338,0.999833061633016
CML238,8.96373224185278,9.81671253779687,0.385941279127971
CML247,10.0137272971761,6.04561582180755,1.13346990233874
CML254,11.5516713362376,9.27997299651971,-1.76188941607426
CML258,11.0800583274456,8.84067300145334,0.541205458469725
CML261,9.89785069397663,8.49987036563623,-0.633644742618794
CML264,9.40914073177587,8.63686709277375,-3.33333970643013
CML277,9.66326423723723,8.75049760770659,-1.95396982714815
CML281,4.82560838740732,5.70180976994373,-2.77770681595729
CML287,6.87699390567726,8.20330628498696,-2.92083044949462
CML311,9.17379318570477,7.66065874884588,-2.21163326760601
CML314,9.91465880049828,9.31797319494915,-4.03895957125067
CML321,10.1919236251751,9.03754810861277,0.914905146265433
CML322,9.35642229274481,8.8883458684881,-3.58050372567638
CML323,5.31858020559607,3.78976445031254,1.19898824128003
CML328,8.31293108383577,3.34796152068492,-1.04044730710594
CML331,9.53957398957285,10.7280526797207,-3.89768823104683
CML332,9.83869649966394,10.0484929996093,-2.32805561223764
CML333,7.0999888068286,6.09688005027441,-1.714364284851
CML341,10.9208030170973,8.78549692134287,0.438951253130675
CML38,9.74095336685261,7.28935984469846,-3.19718019893712
CML45,10.2431935513665,7.83836178952772,-1.12890407910545
CML5,10.3102614174724,8.04024712569839,-2.90796202905025
CML52,9.5572447322488,8.50774965125842,0.98858005766332
CML61,10.1937471148405,7.56783667145718,-1.51271132301987
CML69,10.0009294537507,9.40411064331354,-0.925191024375384
CML77,5.07078089252408,6.26201056215861,-2.93998950719811
CML91,5.95037869138231,5.24894030288016,-0.936445948821253
CML92,5.18654643023721,5.60026991633956,-4.23914805769391
CMV3,-0.450096319671865,-5.24754557588536,-2.46350561801671
CO106,0.450981976667559,-5.15645977852204,-0.745947326703374
CO125,0.910595892391508,-5.92464105718173,0.457675431910994
CO255,2.39893958086994,-4.82745852311977,2.93580873052588
D940Y,7.04484915132592,-2.76585839776612,1.1030849840087
DE2,-0.878095364508998,-6.31766152638107,0.30087358596376
DE3,-4.35074995310339,-3.7775493775756,0.850304423302915
DE1,-0.500482651999042,-5.86222392326702,0.583665577153121
DE811,-10.8626922875152,-1.64029354405292,-13.6432897417958
E2558W,2.79053063633228,-1.51999164498308,-0.0724711240944887
EP1,5.40854434323717,-3.00061213415783,0.839878327619029
F2834T,3.59339633388937,5.76591960614559,-0.267898040946888
F44,3.17389412881651,1.12195453559371,0.497594166819538
F6,0.661098857113051,-4.28212291851145,2.59902991774519
F7,4.16829125759065,-7.23614375038341,0.841584909163333
GA209,2.23988662423244,-4.27582839721508,2.2495585950468
GT112,5.22255053835789,-2.40397924062286,3.12649433112345
H105W,-14.5140022693693,-0.451046781980617,-21.260117805434
H49,1.27676801731283,-5.06181709691657,1.35182448776745
H84,-9.85247554230238,-0.417093451877155,2.51702050196606
H91,-22.6986307405132,0.656374845255139,-27.5792574933562
H95,-0.0236084632201604,-9.88661451101261,4.8716248581542
H99,2.03811442381732,-5.66070817376678,3.06841115149773
HI27,3.50702469272976,6.36863357718981,-9.70589565392739
HP301,2.62603417502002,-7.18168790329143,7.74281551991555
HY,-7.81686114250409,-1.10831600959378,1.78370451017373
I137TN,5.86386720247365,0.965879658473556,0.681285044188697
I205,-4.14528908988138,-2.96737789862491,-0.463171048535888
I29,1.23248592800251,-2.85579306418602,1.90868815562687
IA2132,-1.25350637741698,-11.4497375807104,4.01414404722778
IA5125,0.265276423401952,-9.62762585317233,2.02842663263579
IDS28,0.900186935226418,-5.29846003630281,3.40141503767983
IDS69,1.25953191708432,-6.99022085990938,8.54371772480042
IDS91,2.51290104381894,-6.69713208432775,8.43427350537529
IL101,-1.72590543353579,-13.490975659085,2.26379018205759
IL14H,-1.64789036260434,-14.0233640325338,3.68747020923747
IL677A,-1.62846597899887,-11.9527104378417,3.28156287092037
K148,1.81139774429546,-3.75531262361537,0.624972910695431
K4,1.07489202417566,-2.85028317262816,1.54893689612551
K55,-1.83609406273321,-2.48111199229779,-0.424992461681038
K64,1.04017158557913,-4.6366436288185,1.30207532260714
KI11,8.19004291803165,6.94674489698426,-1.08450182290056
